codigo	medicamento	concentracion	forma	m_res	atc
M 04 01	Alopurinol	300 mg	Comprimido		M04AA01
N 05 01	Alprazolam	0,5 mg	Comprimido ranurado		N05BA12
J 02 01	Amfotericina B	50 mg	Inyectable		J02AA01
J 01 04	Amikacina	250 mg/ml (2ml)	Inyectable		J01GB06
B 05 03	Aminoácidos	10%	Solucion parenteral de gran volumen		B05BA01
R 03 01	Aminofilina	25 mg/ml	Inyectable		R03DA05
R 03 02	Aminofilina	200 mg	Comprimido		R03DA05
C 01 02	Amiodarona (clorhidrato)	200 mg	Comprimido		C01BD01
C 01 03	Amiodarona (clorhidrato)	50 mg/ml	Inyectable		C01BD01
N 06 01	Amitriptilina	25 mg	Comprimido		N06AA09
C 08 07	Amlodipina	10mg	Comprimido		C08CA01
J 01 05	Amoxicilina	1 g	Comprimido		J01CA04
J 01 06	Amoxicilina	500 mg	Comprimido		J01CA04
J 01 08	Amoxicilina	1 g	Inyectable		J01CA04
J 01 57	Amoxicilina	500 mg/5 ml	Suspensión		J01CA04
J 01 09	Amoxicilina+inhibidor betalactamasa	500 mg + Según disponibilidad	Comprimido	R	J01CR02
J 01 10	Amoxicilina+inhibidor betalactamasa	250 mg + Según disponibilidad	Suspensión	R	J01CR02
J 01 11	Amoxicilina+inhibidor betalactamasa	1 g + Según disponibilidad	Inyectable	R	J01CR02
J 01 12	Ampicilina	1 g	Inyectable		J01CA01
L 02 01	Anastrozol	1 mg	Comprimido		L02BG03
R 05 01	Antigripal (Paracetamol + Antihistamínico + Vasoconstrictor con o sin Cafeina)	Según disponibilidad	Comprimido		R05XX**
J 06 01	Antitóxina tetánica	Norma PAI según disponibilidad	Inyectable		J06AA02
P 01 01	Artesunato	50 mg	Comprimido		P01BE03
L 01 21	Asparaginasa	10.000 UI	Inyectable		L01XX02
C 07 01	Atenolol	100 mg	Comprimido		C07AB03
C 10 01	Atorvastatina	10 mg	Comprimido		C10AA05
M 03 01	Atracurio besilato	10 mg/ml	Inyectable		M03AC04
S 01 02	Atropina sulfato	1%	Solución oftálmica		S01FA01
A 03 01	Atropina sulfato	1 mg/ml	Inyectable		A03BA01
L 04 01	Azatioprina	50 mg	Comprimido		L04AX01
L 04 02	Azatioprina	20 mg/ml	Inyectable		L04AX01
J 01 13	Azitromicina	500 mg	Comprimido	R VIH	J01FA10
J 01 62	Azitromicina	200mg/5ml	Suspension	R	J01FA10
D 01 02	Bacitracina + Neomicina sulfato	500 UI+5 mg/g	Crema o pomada		D01AA20
L 04 09	Basiliximab	200 mg	Polvo para inyectable	R Progr	L04AA09
R 03 03	Beclometasona dipropionato	50 mcg/inhalación	Aerosol		R03BA01
J 01 14	Bencilpenicilina benzatínica	600.000 UI	Inyectable		J01CE08
J 01 15	Bencilpenicilina benzatínica	1.200.000 UI	Inyectable		J01CE08
J 01 16	Bencilpenicilina benzatínica	2.400.000 UI	Inyectable		J01CE08
J 01 17	Bencilpenicilina procaínica	400.000 UI	Inyectable		J01CE09
J 01 18	Bencilpenicilina procaínica	800.000 UI	Inyectable		J01CE09
